original_class,target_class,predicted_class,num_iteration,confidence
1,1,1,1,0.9471229314804077
3,1,105,105,0.8184424638748169
2,1,107,107,0.5424158573150635
3,1,109,109,0.7769997119903564
2,1,113,113,0.8487526774406433
2,1,114,114,0.39549699425697327
2,1,115,115,0.4255300760269165
3,1,122,122,0.45512256026268005
4,1,123,123,0.7891994714736938
4,1,128,128,0.9881282448768616
4,1,145,145,0.43588027358055115
4,1,146,146,0.8316136002540588
2,1,149,149,0.9563713073730469
2,1,151,151,0.8148858547210693
3,1,187,187,0.7023530006408691
3,1,207,207,0.2059909701347351
3,1,208,208,0.2584366500377655
4,1,235,235,0.33379554748535156
4,1,25,25,0.2759779095649719
3,1,267,267,0.48885515332221985
4,1,281,281,0.1846996396780014
5,1,283,283,0.6927301287651062
3,1,285,285,0.7687739729881287
3,1,286,286,0.1397228091955185
4,1,291,291,0.8195561766624451
5,1,294,294,0.9817580580711365
3,1,30,30,0.9516109228134155
2,1,301,301,0.5689666271209717
3,1,308,308,0.9724207520484924
2,1,309,309,0.19291944801807404
3,1,311,311,0.7962186932563782
5,1,313,313,0.29670968651771545
2,1,314,314,0.780978798866272
3,1,315,315,0.8696430325508118
2,1,319,319,0.47435232996940613
2,1,32,32,0.7516180872917175
4,1,323,323,0.20209233462810516
3,1,325,325,0.7815640568733215
3,1,329,329,0.9897159934043884
3,1,338,338,0.37132421135902405
2,1,341,341,0.7377073764801025
4,1,345,345,0.32537561655044556
4,1,347,347,0.1978006809949875
4,1,349,349,0.5952773690223694
2,1,353,353,0.11211936920881271
3,1,354,354,0.9659627676010132
2,1,365,365,0.18532876670360565
4,1,367,367,0.8716748356819153
3,1,372,372,0.9385528564453125
5,1,386,386,0.7649839520454407
5,1,387,387,0.7701830863952637
3,1,398,398,0.2719820737838745
7,1,400,400,0.3314816951751709
5,1,406,406,0.8837476968765259
4,1,411,411,0.7750421166419983
4,1,414,414,0.17084312438964844
5,1,421,421,0.4467407763004303
4,1,424,424,0.6420469880104065
4,1,425,425,0.18691177666187286
3,1,427,427,0.685336709022522
4,1,430,430,0.27793049812316895
4,1,435,435,0.7936757802963257
4,1,436,436,0.1841210126876831
4,1,437,437,0.5933901071548462
2,1,438,438,0.23023556172847748
5,1,440,440,0.6927435398101807
4,1,445,445,0.5311028957366943
3,1,447,447,0.9127118587493896
3,1,448,448,0.5053081512451172
4,1,457,457,0.39494892954826355
4,1,458,458,0.27654123306274414
4,1,462,462,0.23931439220905304
4,1,463,463,0.7072181105613708
4,1,466,466,0.3516443967819214
4,1,467,467,0.9411090016365051
2,1,470,470,0.22535081207752228
3,1,471,471,0.21232686936855316
3,1,474,474,0.12384457141160965
4,1,480,480,0.64543217420578
4,1,485,485,0.37794631719589233
3,1,488,488,0.30004703998565674
4,1,492,492,0.21343205869197845
3,1,496,496,0.13414518535137177
5,1,50,50,0.9875338077545166
5,1,500,500,0.1708754450082779
3,1,508,508,0.7653340101242065
3,1,509,509,0.7578338384628296
6,1,511,511,0.32236456871032715
4,1,517,517,0.7059036493301392
5,1,525,525,0.8508555889129639
3,1,526,526,0.10210222005844116
4,1,532,532,0.43648940324783325
5,1,542,542,0.2576790153980255
3,1,543,543,0.9584168791770935
7,1,557,557,0.4872356653213501
3,1,562,562,0.33136510848999023
3,1,565,565,0.449504017829895
4,1,567,567,0.7535113096237183
4,1,568,568,0.3177994191646576
5,1,570,570,0.7904518842697144
5,1,573,573,0.21406742930412292
3,1,576,576,0.16271580755710602
3,1,604,604,0.9925158619880676
4,1,605,605,0.36322686076164246
3,1,61,61,0.8966659903526306
6,1,612,612,0.5692386627197266
5,1,614,614,0.8278448581695557
3,1,619,619,0.5167885422706604
4,1,621,621,0.6408470273017883
4,1,625,625,0.11357641965150833
5,1,627,627,0.19622206687927246
2,1,635,635,0.5266307592391968
4,1,645,645,0.7952401041984558
3,1,652,652,0.9052865505218506
5,1,655,655,0.2830125391483307
4,1,675,675,0.9406293630599976
4,1,677,677,0.6388043165206909
4,1,678,678,0.39058905839920044
4,1,682,682,0.363333523273468
4,1,683,683,0.1396256387233734
4,1,687,687,0.22997546195983887
5,1,69,69,0.5747281312942505
4,1,704,704,0.9658253192901611
3,1,707,707,0.5223921537399292
3,1,71,71,0.9861556887626648
4,1,716,716,0.3870122730731964
3,1,720,720,0.7022067308425903
3,1,731,731,0.3599041998386383
4,1,733,733,0.34283795952796936
5,1,734,734,0.5097081065177917
3,1,735,735,0.4985184669494629
3,1,737,737,0.9653857946395874
4,1,739,739,0.9003151655197144
4,1,744,744,0.7127702236175537
4,1,747,747,0.993845522403717
2,1,75,75,0.5087356567382812
2,1,758,758,0.5549548864364624
3,1,76,76,0.8825598955154419
3,1,760,760,0.5153586864471436
3,1,761,761,0.633122444152832
4,1,765,765,0.1228700578212738
5,1,768,768,0.6877620220184326
3,1,774,774,0.29279980063438416
4,1,779,779,0.9195559620857239
4,1,781,781,0.19198845326900482
3,1,786,786,0.5561016201972961
3,1,79,79,0.9651477932929993
3,1,801,801,0.9863888621330261
4,1,806,806,0.7217242121696472
4,1,808,808,0.7041571736335754
4,1,811,811,0.414448082447052
3,1,815,815,0.10261165350675583
7,1,817,817,0.5457684993743896
5,1,821,821,0.10050759464502335
3,1,826,826,0.13918259739875793
4,1,837,837,0.11912575364112854
6,1,839,839,0.6204419136047363
4,1,842,842,0.4373701810836792
3,1,845,845,0.9729480147361755
3,1,849,849,0.562993586063385
3,1,850,850,0.9823692440986633
6,1,853,853,0.5207510590553284
3,1,862,862,0.11315785348415375
3,1,866,866,0.9263672828674316
6,1,873,873,0.2659883201122284
6,1,874,874,0.5237184166908264
4,1,877,877,0.11566131561994553
5,1,879,879,0.35189616680145264
3,1,887,887,0.5619322657585144
5,1,888,888,0.21581479907035828
4,1,890,890,0.8029074668884277
4,1,899,899,0.6500352025032043
3,1,900,900,0.6156956553459167
4,1,909,909,0.7183098196983337
4,1,910,910,0.1812935173511505
2,1,917,917,0.3721151649951935
3,1,923,923,0.1412688046693802
3,1,924,924,0.8769872188568115
3,1,928,928,0.9929901361465454
3,1,929,929,0.9727833867073059
5,1,932,932,0.1541016846895218
3,1,935,935,0.09771665930747986
3,1,938,938,0.9435864686965942
3,1,945,945,0.2941408157348633
3,1,947,947,0.85862135887146
5,1,950,950,0.19880808889865875
4,1,951,951,0.16745197772979736
4,1,954,954,0.24546818435192108
2,1,957,957,0.15063585340976715
6,1,962,962,0.44309771060943604
5,1,963,963,0.9054747819900513
4,1,964,964,0.6930405497550964
6,1,967,967,0.7983338832855225
6,1,970,970,0.2952747046947479
6,1,972,972,0.6002084016799927
3,1,973,973,0.5901939272880554
3,1,975,975,0.5576925277709961
4,1,978,978,0.09994376450777054
2,1,988,988,0.42671146988868713
