img,original_class,predicted_class,num_iterations,confidence
0,0,4,3,0.5593801736831665
1,0,6,10,0.6219669580459595
2,0,5,9,0.2724915146827698
3,0,4,4,0.5492678284645081
4,0,2,4,0.46461936831474304
5,0,6,6,0.4881635904312134
6,0,6,8,0.5423374176025391
7,0,6,8,0.5439701080322266
8,0,4,4,0.4086301922798157
9,0,6,5,0.4548552930355072
10,0,6,10,0.5547109246253967
11,0,4,5,0.5456205606460571
12,0,6,6,0.6172889471054077
13,0,6,8,0.5396773219108582
14,0,6,9,0.5531259179115295
15,0,6,6,0.5598303079605103
16,0,6,11,0.4547940492630005
17,0,6,8,0.5351221561431885
18,0,6,6,0.7302681803703308
19,0,6,2,0.5439292192459106
20,1,4,3,0.5797473788261414
21,1,8,4,0.3790050745010376
22,1,7,5,0.5159381031990051
23,1,7,8,0.6245260834693909
24,1,7,5,0.48015305399894714
25,1,2,0,0.5656371116638184
26,1,4,4,0.7700150609016418
27,1,7,8,0.30258601903915405
28,1,7,8,0.7333816289901733
29,1,4,9,0.5816102027893066
30,1,8,7,0.20782144367694855
31,1,9,7,0.7180851697921753
32,1,4,9,0.6573665738105774
33,1,9,2,0.7974298596382141
34,1,7,5,0.5729184746742249
35,1,4,9,0.530884325504303
36,1,4,4,0.6934475302696228
37,1,7,7,0.21864205598831177
38,1,7,7,0.45877283811569214
39,1,7,7,0.41348937153816223
40,2,6,3,0.6943278908729553
41,2,8,4,0.8577449917793274
42,2,8,7,0.18784677982330322
43,2,6,11,0.40040072798728943
44,2,6,11,0.4084920883178711
45,2,6,8,0.46789228916168213
46,2,7,11,0.20230504870414734
47,2,8,11,0.4018554091453552
48,2,6,5,0.5983403921127319
49,2,6,4,0.4191126823425293
50,2,6,4,0.5461699366569519
51,2,8,4,0.4494815766811371
52,2,1,5,0.4842377305030823
53,2,7,3,0.6419414281845093
54,2,6,8,0.6166681051254272
55,2,7,5,0.8343134522438049
56,2,5,5,0.27741673588752747
57,2,7,8,0.26031962037086487
58,2,7,7,0.437559574842453
59,2,1,2,0.8389090299606323
60,3,7,5,0.7203751802444458
61,3,9,5,0.3825213313102722
62,3,7,7,0.8216328620910645
63,3,7,9,0.6512315273284912
64,3,9,5,0.5892664194107056
65,3,5,7,0.4540204405784607
66,3,9,4,0.7216029763221741
67,3,5,9,0.6650278568267822
68,3,7,6,0.599601149559021
69,3,7,6,0.6695870757102966
70,3,8,13,0.45861026644706726
71,3,5,7,0.7583248615264893
72,3,9,10,0.41415148973464966
73,3,7,6,0.4947889447212219
74,3,5,8,0.2568129897117615
75,3,6,4,0.5420217514038086
76,3,9,4,0.3989311158657074
77,3,9,4,0.7713947892189026
78,3,7,4,0.785805881023407
